user_id,risk_score,top_risk_factors
56,1.8,User is using fewer features than before; Time spent per session has reduced noticeably; User sessions have significantly decreased over time
57,98.2,User is using fewer features than before; Time spent per session has reduced noticeably; User sessions have significantly decreased over time
58,1.8,User is using fewer features than before; Time spent per session has reduced noticeably; User sessions have significantly decreased over time
59,1.8,User is using fewer features than before; Time spent per session has reduced noticeably; User sessions have significantly decreased over time
60,1.8,User is using fewer features than before; Time spent per session has reduced noticeably; User sessions have significantly decreased over time
61,1.8,User is using fewer features than before; Time spent per session has reduced noticeably; User sessions have significantly decreased over time
62,1.8,User is using fewer features than before; Time spent per session has reduced noticeably; User sessions have significantly decreased over time
63,98.2,User is using fewer features than before; Time spent per session has reduced noticeably; User sessions have significantly decreased over time
64,1.8,User is using fewer features than before; Time spent per session has reduced noticeably; User sessions have significantly decreased over time
65,1.8,User is using fewer features than before; Time spent per session has reduced noticeably; User sessions have significantly decreased over time
66,98.2,User is using fewer features than before; Time spent per session has reduced noticeably; User sessions have significantly decreased over time
67,1.8,User is using fewer features than before; Time spent per session has reduced noticeably; User sessions have significantly decreased over time
68,98.2,User is using fewer features than before; Time spent per session has reduced noticeably; User sessions have significantly decreased over time
69,1.8,User is using fewer features than before; Time spent per session has reduced noticeably; User sessions have significantly decreased over time
70,98.2,User is using fewer features than before; Time spent per session has reduced noticeably; User sessions have significantly decreased over time
71,1.8,User is using fewer features than before; Time spent per session has reduced noticeably; User sessions have significantly decreased over time
72,98.2,User is using fewer features than before; Time spent per session has reduced noticeably; User sessions have significantly decreased over time
73,98.2,User is using fewer features than before; Time spent per session has reduced noticeably; User sessions have significantly decreased over time
74,1.8,User is using fewer features than before; Time spent per session has reduced noticeably; User sessions have significantly decreased over time
75,1.8,User is using fewer features than before; Time spent per session has reduced noticeably; User sessions have significantly decreased over time
76,1.8,User is using fewer features than before; Time spent per session has reduced noticeably; User sessions have significantly decreased over time
77,1.8,User is using fewer features than before; Time spent per session has reduced noticeably; User sessions have significantly decreased over time
78,1.8,User is using fewer features than before; Time spent per session has reduced noticeably; User sessions have significantly decreased over time
79,1.8,User is using fewer features than before; Time spent per session has reduced noticeably; User sessions have significantly decreased over time
80,1.8,User is using fewer features than before; Time spent per session has reduced noticeably; User sessions have significantly decreased over time
81,1.8,User is using fewer features than before; Time spent per session has reduced noticeably; User sessions have significantly decreased over time
82,1.8,User is using fewer features than before; Time spent per session has reduced noticeably; User sessions have significantly decreased over time
83,98.2,User is using fewer features than before; Time spent per session has reduced noticeably; User sessions have significantly decreased over time
84,98.2,User is using fewer features than before; Time spent per session has reduced noticeably; User sessions have significantly decreased over time
85,1.8,User is using fewer features than before; Time spent per session has reduced noticeably; User sessions have significantly decreased over time
86,1.8,User is using fewer features than before; Time spent per session has reduced noticeably; User sessions have significantly decreased over time
87,1.8,User is using fewer features than before; Time spent per session has reduced noticeably; User sessions have significantly decreased over time
88,1.8,User is using fewer features than before; Time spent per session has reduced noticeably; User sessions have significantly decreased over time
89,1.8,User is using fewer features than before; Time spent per session has reduced noticeably; User sessions have significantly decreased over time
90,98.2,User is using fewer features than before; Time spent per session has reduced noticeably; User sessions have significantly decreased over time
91,1.8,User is using fewer features than before; Time spent per session has reduced noticeably; User sessions have significantly decreased over time
92,1.8,User is using fewer features than before; Time spent per session has reduced noticeably; User sessions have significantly decreased over time
93,1.8,User is using fewer features than before; Time spent per session has reduced noticeably; User sessions have significantly decreased over time
94,1.8,User is using fewer features than before; Time spent per session has reduced noticeably; User sessions have significantly decreased over time
95,1.8,User is using fewer features than before; Time spent per session has reduced noticeably; User sessions have significantly decreased over time
96,98.2,User is using fewer features than before; Time spent per session has reduced noticeably; User sessions have significantly decreased over time
97,1.8,User is using fewer features than before; Time spent per session has reduced noticeably; User sessions have significantly decreased over time
98,1.8,User is using fewer features than before; Time spent per session has reduced noticeably; User sessions have significantly decreased over time
99,1.8,User is using fewer features than before; Time spent per session has reduced noticeably; User sessions have significantly decreased over time
100,98.2,User is using fewer features than before; Time spent per session has reduced noticeably; User sessions have significantly decreased over time
101,1.8,User is using fewer features than before; Time spent per session has reduced noticeably; User sessions have significantly decreased over time
102,1.8,User is using fewer features than before; Time spent per session has reduced noticeably; User sessions have significantly decreased over time
103,1.8,User is using fewer features than before; Time spent per session has reduced noticeably; User sessions have significantly decreased over time
104,98.2,User is using fewer features than before; Time spent per session has reduced noticeably; User sessions have significantly decreased over time
105,1.8,User is using fewer features than before; Time spent per session has reduced noticeably; User sessions have significantly decreased over time
106,1.8,User is using fewer features than before; Time spent per session has reduced noticeably; User sessions have significantly decreased over time
107,1.8,User is using fewer features than before; Time spent per session has reduced noticeably; User sessions have significantly decreased over time
108,1.8,User is using fewer features than before; Time spent per session has reduced noticeably; User sessions have significantly decreased over time
109,1.8,User is using fewer features than before; Time spent per session has reduced noticeably; User sessions have significantly decreased over time
110,98.2,User is using fewer features than before; Time spent per session has reduced noticeably; User sessions have significantly decreased over time
111,1.8,User is using fewer features than before; Time spent per session has reduced noticeably; User sessions have significantly decreased over time
112,1.8,User is using fewer features than before; Time spent per session has reduced noticeably; User sessions have significantly decreased over time
113,1.8,User is using fewer features than before; Time spent per session has reduced noticeably; User sessions have significantly decreased over time
114,1.8,User is using fewer features than before; Time spent per session has reduced noticeably; User sessions have significantly decreased over time
115,98.2,User is using fewer features than before; Time spent per session has reduced noticeably; User sessions have significantly decreased over time
116,1.8,User is using fewer features than before; Time spent per session has reduced noticeably; User sessions have significantly decreased over time
117,1.8,User is using fewer features than before; Time spent per session has reduced noticeably; User sessions have significantly decreased over time
118,1.8,User is using fewer features than before; Time spent per session has reduced noticeably; User sessions have significantly decreased over time
119,1.8,User is using fewer features than before; Time spent per session has reduced noticeably; User sessions have significantly decreased over time
120,98.2,User is using fewer features than before; Time spent per session has reduced noticeably; User sessions have significantly decreased over time
121,98.2,User is using fewer features than before; Time spent per session has reduced noticeably; User sessions have significantly decreased over time
122,98.2,User is using fewer features than before; Time spent per session has reduced noticeably; User sessions have significantly decreased over time
123,1.8,User is using fewer features than before; Time spent per session has reduced noticeably; User sessions have significantly decreased over time
124,1.8,User is using fewer features than before; Time spent per session has reduced noticeably; User sessions have significantly decreased over time
125,98.2,User is using fewer features than before; Time spent per session has reduced noticeably; User sessions have significantly decreased over time
126,98.2,User is using fewer features than before; Time spent per session has reduced noticeably; User sessions have significantly decreased over time
127,1.8,User is using fewer features than before; Time spent per session has reduced noticeably; User sessions have significantly decreased over time
128,1.8,User is using fewer features than before; Time spent per session has reduced noticeably; User sessions have significantly decreased over time
129,1.8,User is using fewer features than before; Time spent per session has reduced noticeably; User sessions have significantly decreased over time
130,98.2,User is using fewer features than before; Time spent per session has reduced noticeably; User sessions have significantly decreased over time
131,1.8,User is using fewer features than before; Time spent per session has reduced noticeably; User sessions have significantly decreased over time
132,1.8,User is using fewer features than before; Time spent per session has reduced noticeably; User sessions have significantly decreased over time
133,98.2,User is using fewer features than before; Time spent per session has reduced noticeably; User sessions have significantly decreased over time
134,1.8,User is using fewer features than before; Time spent per session has reduced noticeably; User sessions have significantly decreased over time
135,98.2,User is using fewer features than before; Time spent per session has reduced noticeably; User sessions have significantly decreased over time
136,1.8,User is using fewer features than before; Time spent per session has reduced noticeably; User sessions have significantly decreased over time
137,1.8,User is using fewer features than before; Time spent per session has reduced noticeably; User sessions have significantly decreased over time
138,1.8,User is using fewer features than before; Time spent per session has reduced noticeably; User sessions have significantly decreased over time
139,1.8,User is using fewer features than before; Time spent per session has reduced noticeably; User sessions have significantly decreased over time
140,1.8,User is using fewer features than before; Time spent per session has reduced noticeably; User sessions have significantly decreased over time
141,1.8,User is using fewer features than before; Time spent per session has reduced noticeably; User sessions have significantly decreased over time
142,98.2,User is using fewer features than before; Time spent per session has reduced noticeably; User sessions have significantly decreased over time
143,1.8,User is using fewer features than before; Time spent per session has reduced noticeably; User sessions have significantly decreased over time
144,98.2,User is using fewer features than before; Time spent per session has reduced noticeably; User sessions have significantly decreased over time
145,1.8,User is using fewer features than before; Time spent per session has reduced noticeably; User sessions have significantly decreased over time
146,1.8,User is using fewer features than before; Time spent per session has reduced noticeably; User sessions have significantly decreased over time
147,98.2,User is using fewer features than before; Time spent per session has reduced noticeably; User sessions have significantly decreased over time
148,1.8,User is using fewer features than before; Time spent per session has reduced noticeably; User sessions have significantly decreased over time
149,98.2,User is using fewer features than before; Time spent per session has reduced noticeably; User sessions have significantly decreased over time
150,1.8,User is using fewer features than before; Time spent per session has reduced noticeably; User sessions have significantly decreased over time
151,1.8,User is using fewer features than before; Time spent per session has reduced noticeably; User sessions have significantly decreased over time
152,1.8,User is using fewer features than before; Time spent per session has reduced noticeably; User sessions have significantly decreased over time
153,98.2,User is using fewer features than before; Time spent per session has reduced noticeably; User sessions have significantly decreased over time
154,1.8,User is using fewer features than before; Time spent per session has reduced noticeably; User sessions have significantly decreased over time
155,1.8,User is using fewer features than before; Time spent per session has reduced noticeably; User sessions have significantly decreased over time
156,98.2,User is using fewer features than before; Time spent per session has reduced noticeably; User sessions have significantly decreased over time
157,1.8,User is using fewer features than before; Time spent per session has reduced noticeably; User sessions have significantly decreased over time
158,98.2,User is using fewer features than before; Time spent per session has reduced noticeably; User sessions have significantly decreased over time
159,1.8,User is using fewer features than before; Time spent per session has reduced noticeably; User sessions have significantly decreased over time
160,1.8,User is using fewer features than before; Time spent per session has reduced noticeably; User sessions have significantly decreased over time
161,1.8,User is using fewer features than before; Time spent per session has reduced noticeably; User sessions have significantly decreased over time
162,1.8,User is using fewer features than before; Time spent per session has reduced noticeably; User sessions have significantly decreased over time
163,1.8,User is using fewer features than before; Time spent per session has reduced noticeably; User sessions have significantly decreased over time
164,1.8,User is using fewer features than before; Time spent per session has reduced noticeably; User sessions have significantly decreased over time
165,98.2,Time spent per session has reduced noticeably; User is using fewer features than before; User sessions have significantly decreased over time
166,98.2,User is using fewer features than before; Time spent per session has reduced noticeably; User sessions have significantly decreased over time
167,1.8,User is using fewer features than before; Time spent per session has reduced noticeably; User sessions have significantly decreased over time
168,1.8,User is using fewer features than before; Time spent per session has reduced noticeably; User sessions have significantly decreased over time
169,1.8,User is using fewer features than before; Time spent per session has reduced noticeably; User sessions have significantly decreased over time
170,1.8,User is using fewer features than before; Time spent per session has reduced noticeably; User sessions have significantly decreased over time
171,98.2,User is using fewer features than before; Time spent per session has reduced noticeably; User sessions have significantly decreased over time
172,98.2,User is using fewer features than before; Time spent per session has reduced noticeably; User sessions have significantly decreased over time
173,1.8,User is using fewer features than before; Time spent per session has reduced noticeably; User sessions have significantly decreased over time
174,1.8,User is using fewer features than before; Time spent per session has reduced noticeably; User sessions have significantly decreased over time
175,1.8,User is using fewer features than before; Time spent per session has reduced noticeably; User sessions have significantly decreased over time
176,98.2,User is using fewer features than before; Time spent per session has reduced noticeably; User sessions have significantly decreased over time
177,1.8,User is using fewer features than before; Time spent per session has reduced noticeably; User sessions have significantly decreased over time
178,1.8,User is using fewer features than before; Time spent per session has reduced noticeably; User sessions have significantly decreased over time
179,1.8,User is using fewer features than before; Time spent per session has reduced noticeably; User sessions have significantly decreased over time
180,1.8,User is using fewer features than before; Time spent per session has reduced noticeably; User sessions have significantly decreased over time
181,98.2,User is using fewer features than before; Time spent per session has reduced noticeably; User sessions have significantly decreased over time
182,1.8,User is using fewer features than before; Time spent per session has reduced noticeably; User sessions have significantly decreased over time
183,1.8,User is using fewer features than before; Time spent per session has reduced noticeably; User sessions have significantly decreased over time
184,1.8,User is using fewer features than before; Time spent per session has reduced noticeably; User sessions have significantly decreased over time
185,1.8,User is using fewer features than before; Time spent per session has reduced noticeably; User sessions have significantly decreased over time
186,1.8,User is using fewer features than before; Time spent per session has reduced noticeably; User sessions have significantly decreased over time
187,1.8,User is using fewer features than before; Time spent per session has reduced noticeably; User sessions have significantly decreased over time
188,1.8,User is using fewer features than before; Time spent per session has reduced noticeably; User sessions have significantly decreased over time
189,1.8,User is using fewer features than before; Time spent per session has reduced noticeably; User sessions have significantly decreased over time
190,98.2,User is using fewer features than before; Time spent per session has reduced noticeably; User sessions have significantly decreased over time
191,1.8,User is using fewer features than before; Time spent per session has reduced noticeably; User sessions have significantly decreased over time
192,1.8,User is using fewer features than before; Time spent per session has reduced noticeably; User sessions have significantly decreased over time
193,1.8,User is using fewer features than before; Time spent per session has reduced noticeably; User sessions have significantly decreased over time
194,1.8,User is using fewer features than before; Time spent per session has reduced noticeably; User sessions have significantly decreased over time
195,1.8,User is using fewer features than before; Time spent per session has reduced noticeably; User sessions have significantly decreased over time
196,1.8,User is using fewer features than before; Time spent per session has reduced noticeably; User sessions have significantly decreased over time
197,98.2,User is using fewer features than before; Time spent per session has reduced noticeably; User sessions have significantly decreased over time
198,1.8,User is using fewer features than before; Time spent per session has reduced noticeably; User sessions have significantly decreased over time
199,98.2,User is using fewer features than before; Time spent per session has reduced noticeably; User sessions have significantly decreased over time
200,98.2,User is using fewer features than before; Time spent per session has reduced noticeably; User sessions have significantly decreased over time
201,1.8,User is using fewer features than before; Time spent per session has reduced noticeably; User sessions have significantly decreased over time
202,98.2,User is using fewer features than before; Time spent per session has reduced noticeably; User sessions have significantly decreased over time
203,1.8,User is using fewer features than before; Time spent per session has reduced noticeably; User sessions have significantly decreased over time
204,1.8,User is using fewer features than before; Time spent per session has reduced noticeably; User sessions have significantly decreased over time
205,1.8,User is using fewer features than before; Time spent per session has reduced noticeably; User sessions have significantly decreased over time
206,1.8,User is using fewer features than before; Time spent per session has reduced noticeably; User sessions have significantly decreased over time
207,1.8,User is using fewer features than before; Time spent per session has reduced noticeably; User sessions have significantly decreased over time
208,1.8,User is using fewer features than before; Time spent per session has reduced noticeably; User sessions have significantly decreased over time
209,1.8,User is using fewer features than before; Time spent per session has reduced noticeably; User sessions have significantly decreased over time
210,1.8,User is using fewer features than before; Time spent per session has reduced noticeably; User sessions have significantly decreased over time
211,98.2,User is using fewer features than before; Time spent per session has reduced noticeably; User sessions have significantly decreased over time
212,98.2,User is using fewer features than before; Time spent per session has reduced noticeably; User sessions have significantly decreased over time
213,1.8,User is using fewer features than before; Time spent per session has reduced noticeably; User sessions have significantly decreased over time
214,98.2,User is using fewer features than before; Time spent per session has reduced noticeably; User sessions have significantly decreased over time
215,98.2,User is using fewer features than before; Time spent per session has reduced noticeably; User sessions have significantly decreased over time
216,1.8,User is using fewer features than before; Time spent per session has reduced noticeably; User sessions have significantly decreased over time
217,1.8,User is using fewer features than before; Time spent per session has reduced noticeably; User sessions have significantly decreased over time
218,1.8,User is using fewer features than before; Time spent per session has reduced noticeably; User sessions have significantly decreased over time
219,1.8,User is using fewer features than before; Time spent per session has reduced noticeably; User sessions have significantly decreased over time
220,1.8,User is using fewer features than before; Time spent per session has reduced noticeably; User sessions have significantly decreased over time
221,98.2,User is using fewer features than before; Time spent per session has reduced noticeably; User sessions have significantly decreased over time
222,1.8,User is using fewer features than before; Time spent per session has reduced noticeably; User sessions have significantly decreased over time
223,1.8,User is using fewer features than before; Time spent per session has reduced noticeably; User sessions have significantly decreased over time
224,1.8,User is using fewer features than before; Time spent per session has reduced noticeably; User sessions have significantly decreased over time
225,1.8,User is using fewer features than before; Time spent per session has reduced noticeably; User sessions have significantly decreased over time
226,1.8,User is using fewer features than before; Time spent per session has reduced noticeably; User sessions have significantly decreased over time
227,1.8,User is using fewer features than before; Time spent per session has reduced noticeably; User sessions have significantly decreased over time
228,1.8,User is using fewer features than before; Time spent per session has reduced noticeably; User sessions have significantly decreased over time
229,1.8,User is using fewer features than before; Time spent per session has reduced noticeably; User sessions have significantly decreased over time
230,1.8,User is using fewer features than before; Time spent per session has reduced noticeably; User sessions have significantly decreased over time
231,1.8,User is using fewer features than before; Time spent per session has reduced noticeably; User sessions have significantly decreased over time
232,1.8,User is using fewer features than before; Time spent per session has reduced noticeably; User sessions have significantly decreased over time
233,98.2,User is using fewer features than before; Time spent per session has reduced noticeably; User sessions have significantly decreased over time
234,1.8,User is using fewer features than before; Time spent per session has reduced noticeably; User sessions have significantly decreased over time
235,1.8,User is using fewer features than before; Time spent per session has reduced noticeably; User sessions have significantly decreased over time
236,1.8,User is using fewer features than before; Time spent per session has reduced noticeably; User sessions have significantly decreased over time
237,1.8,User is using fewer features than before; Time spent per session has reduced noticeably; User sessions have significantly decreased over time
238,1.8,User is using fewer features than before; Time spent per session has reduced noticeably; User sessions have significantly decreased over time
239,1.8,User is using fewer features than before; Time spent per session has reduced noticeably; User sessions have significantly decreased over time
240,1.8,User is using fewer features than before; Time spent per session has reduced noticeably; User sessions have significantly decreased over time
241,98.2,User is using fewer features than before; Time spent per session has reduced noticeably; User sessions have significantly decreased over time
242,98.2,User is using fewer features than before; Time spent per session has reduced noticeably; User sessions have significantly decreased over time
243,1.8,User is using fewer features than before; Time spent per session has reduced noticeably; User sessions have significantly decreased over time
244,1.8,User is using fewer features than before; Time spent per session has reduced noticeably; User sessions have significantly decreased over time
245,1.8,User is using fewer features than before; Time spent per session has reduced noticeably; User sessions have significantly decreased over time
246,1.8,User is using fewer features than before; Time spent per session has reduced noticeably; User sessions have significantly decreased over time
247,1.8,User is using fewer features than before; Time spent per session has reduced noticeably; User sessions have significantly decreased over time
248,98.2,User is using fewer features than before; Time spent per session has reduced noticeably; User sessions have significantly decreased over time
249,1.8,User is using fewer features than before; Time spent per session has reduced noticeably; User sessions have significantly decreased over time
250,1.8,User is using fewer features than before; Time spent per session has reduced noticeably; User sessions have significantly decreased over time
251,1.8,User is using fewer features than before; Time spent per session has reduced noticeably; User sessions have significantly decreased over time
252,98.2,User is using fewer features than before; Time spent per session has reduced noticeably; User sessions have significantly decreased over time
253,1.8,User is using fewer features than before; Time spent per session has reduced noticeably; User sessions have significantly decreased over time
254,98.2,User is using fewer features than before; Time spent per session has reduced noticeably; User sessions have significantly decreased over time
255,1.8,User is using fewer features than before; Time spent per session has reduced noticeably; User sessions have significantly decreased over time
256,1.8,User is using fewer features than before; Time spent per session has reduced noticeably; User sessions have significantly decreased over time
257,1.8,User is using fewer features than before; Time spent per session has reduced noticeably; User sessions have significantly decreased over time
258,1.8,User is using fewer features than before; Time spent per session has reduced noticeably; User sessions have significantly decreased over time
259,1.8,User is using fewer features than before; Time spent per session has reduced noticeably; User sessions have significantly decreased over time
260,1.8,User is using fewer features than before; Time spent per session has reduced noticeably; User sessions have significantly decreased over time
261,98.2,User is using fewer features than before; Time spent per session has reduced noticeably; User sessions have significantly decreased over time
262,1.8,User is using fewer features than before; Time spent per session has reduced noticeably; User sessions have significantly decreased over time
263,1.8,User is using fewer features than before; Time spent per session has reduced noticeably; User sessions have significantly decreased over time
264,1.8,User is using fewer features than before; Time spent per session has reduced noticeably; User sessions have significantly decreased over time
265,1.8,User is using fewer features than before; Time spent per session has reduced noticeably; User sessions have significantly decreased over time
266,1.8,User is using fewer features than before; Time spent per session has reduced noticeably; User sessions have significantly decreased over time
267,1.8,User is using fewer features than before; Time spent per session has reduced noticeably; User sessions have significantly decreased over time
268,1.8,User is using fewer features than before; Time spent per session has reduced noticeably; User sessions have significantly decreased over time
269,1.8,User is using fewer features than before; Time spent per session has reduced noticeably; User sessions have significantly decreased over time
270,1.8,User is using fewer features than before; Time spent per session has reduced noticeably; User sessions have significantly decreased over time
271,1.8,User is using fewer features than before; Time spent per session has reduced noticeably; User sessions have significantly decreased over time
272,1.8,User is using fewer features than before; Time spent per session has reduced noticeably; User sessions have significantly decreased over time
273,1.8,User is using fewer features than before; Time spent per session has reduced noticeably; User sessions have significantly decreased over time
274,1.8,User is using fewer features than before; Time spent per session has reduced noticeably; User sessions have significantly decreased over time
275,1.8,User is using fewer features than before; Time spent per session has reduced noticeably; User sessions have significantly decreased over time
276,1.8,User is using fewer features than before; Time spent per session has reduced noticeably; User sessions have significantly decreased over time
277,1.8,User is using fewer features than before; Time spent per session has reduced noticeably; User sessions have significantly decreased over time
278,1.8,User is using fewer features than before; Time spent per session has reduced noticeably; User sessions have significantly decreased over time
279,1.8,User is using fewer features than before; Time spent per session has reduced noticeably; User sessions have significantly decreased over time
280,1.8,User is using fewer features than before; Time spent per session has reduced noticeably; User sessions have significantly decreased over time
281,1.8,User is using fewer features than before; Time spent per session has reduced noticeably; User sessions have significantly decreased over time
282,1.8,User is using fewer features than before; Time spent per session has reduced noticeably; User sessions have significantly decreased over time
283,1.8,User is using fewer features than before; Time spent per session has reduced noticeably; User sessions have significantly decreased over time
284,1.8,User is using fewer features than before; Time spent per session has reduced noticeably; User sessions have significantly decreased over time
285,1.8,User is using fewer features than before; Time spent per session has reduced noticeably; User sessions have significantly decreased over time
286,1.8,User is using fewer features than before; Time spent per session has reduced noticeably; User sessions have significantly decreased over time
287,1.8,User is using fewer features than before; Time spent per session has reduced noticeably; User sessions have significantly decreased over time
288,1.8,User is using fewer features than before; Time spent per session has reduced noticeably; User sessions have significantly decreased over time
289,98.2,User is using fewer features than before; Time spent per session has reduced noticeably; User sessions have significantly decreased over time
290,1.8,User is using fewer features than before; Time spent per session has reduced noticeably; User sessions have significantly decreased over time
291,98.2,User is using fewer features than before; Time spent per session has reduced noticeably; User sessions have significantly decreased over time
292,98.2,User is using fewer features than before; Time spent per session has reduced noticeably; User sessions have significantly decreased over time
293,1.8,User is using fewer features than before; Time spent per session has reduced noticeably; User sessions have significantly decreased over time
294,1.8,User is using fewer features than before; Time spent per session has reduced noticeably; User sessions have significantly decreased over time
295,1.8,User is using fewer features than before; Time spent per session has reduced noticeably; User sessions have significantly decreased over time
296,98.2,User is using fewer features than before; Time spent per session has reduced noticeably; User sessions have significantly decreased over time
297,1.8,User is using fewer features than before; Time spent per session has reduced noticeably; User sessions have significantly decreased over time
298,1.8,User is using fewer features than before; Time spent per session has reduced noticeably; User sessions have significantly decreased over time
299,1.8,User is using fewer features than before; Time spent per session has reduced noticeably; User sessions have significantly decreased over time
300,1.8,User is using fewer features than before; Time spent per session has reduced noticeably; User sessions have significantly decreased over time
301,98.2,User is using fewer features than before; Time spent per session has reduced noticeably; User sessions have significantly decreased over time
