customerID,risk_score,top_risk_drivers
7590-VHVEG,61.86,tenure; TotalCharges; InternetService Fiber optic
6572-ADKRS,21.49,tenure; InternetService Fiber optic; TotalCharges
5380-WJKOV,46.35,InternetService Fiber optic; PaymentMethod Electronic check; tenure
8168-UQWWF,78.45,InternetService Fiber optic; tenure; MonthlyCharges
8865-TNMNX,10.45,InternetService Fiber optic; Contract One year; tenure
9489-DEDVP,5.62,Contract Two year; tenure; InternetService Fiber optic
9867-JCZSP,6.74,InternetService Fiber optic; Contract One year; OnlineSecurity No internet service
4671-VJLCL,5.76,Contract Two year; tenure; InternetService Fiber optic
4080-IIARD,16.57,InternetService Fiber optic; OnlineSecurity Yes; PaymentMethod Electronic check
3714-NTNFO,41.51,tenure; InternetService Fiber optic; PaymentMethod Electronic check
5948-UJZLF,44.98,tenure; TotalCharges; InternetService Fiber optic
7760-OYPDY,79.57,tenure; TotalCharges; InternetService Fiber optic
7639-LIAYI,5.98,Contract Two year; tenure; InternetService Fiber optic
2954-PIBKO,5.5,Contract Two year; tenure; InternetService Fiber optic
8012-SOUDQ,42.11,tenure; PaymentMethod Electronic check; InternetService Fiber optic
9420-LOJKX,49.89,InternetService Fiber optic; MonthlyCharges; tenure
6575-SUVOI,11.34,InternetService Fiber optic; tenure; SeniorCitizen
7495-OOKFY,74.31,tenure; InternetService Fiber optic; TotalCharges
4667-QONEA,7.2,tenure; InternetService Fiber optic; Contract One year
1658-BYGOY,62.22,InternetService Fiber optic; PaymentMethod Electronic check; Contract Two year
8769-KKTPH,13.35,tenure; Contract One year; InternetService Fiber optic
5067-XJQFU,15.62,tenure; TotalCharges; Contract One year
3957-SQXML,5.51,Contract Two year; InternetService Fiber optic; tenure
5954-BDFSG,8.39,Contract Two year; tenure; TotalCharges
0434-CSFON,46.39,tenure; InternetService Fiber optic; PaymentMethod Electronic check
1215-FIGMP,20.63,tenure; TotalCharges; InternetService Fiber optic
0526-SXDJP,5.7,Contract Two year; tenure; InternetService Fiber optic
0557-ASKVU,9.06,InternetService Fiber optic; Contract One year; MonthlyCharges
5698-BQJOH,79.23,tenure; InternetService Fiber optic; MonthlyCharges
5122-CYFXA,38.71,tenure; InternetService Fiber optic; TotalCharges
8627-ZYGSZ,20.32,Contract One year; PaymentMethod Electronic check; tenure
3410-YOQBQ,5.99,Contract Two year; InternetService Fiber optic; tenure
3170-NMYVV,4.9,Contract Two year; InternetService Fiber optic; tenure
7410-OIEDU,32.82,OnlineSecurity Yes; tenure; InternetService Fiber optic
2273-QCKXA,41.83,tenure; TotalCharges; InternetService Fiber optic
0731-EBJQB,5.33,InternetService Fiber optic; tenure; Contract One year
1891-QRQSA,8.69,Contract Two year; tenure; TotalCharges
8028-PNXHQ,4.86,Contract Two year; tenure; InternetService Fiber optic
5630-AHZIL,27.04,tenure; InternetService Fiber optic; TotalCharges
2673-CXQEU,16.89,tenure; OnlineSecurity Yes; TotalCharges
6416-JNVRK,8.29,tenure; InternetService Fiber optic; Contract One year
5590-ZSKRV,11.7,InternetService Fiber optic; tenure; OnlineSecurity Yes
0191-ZHSKZ,17.85,InternetService Fiber optic; tenure; PaymentMethod Electronic check
3887-PBQAO,5.41,tenure; InternetService Fiber optic; Contract One year
5919-TMRGD,85.86,tenure; TotalCharges; InternetService Fiber optic
8108-UXRQN,20.93,InternetService Fiber optic; PaymentMethod Electronic check; OnlineSecurity Yes
9191-MYQKX,67.88,tenure; InternetService Fiber optic; TotalCharges
9919-YLNNG,22.78,tenure; InternetService Fiber optic; TotalCharges
0318-ZOPWS,4.96,Contract Two year; InternetService Fiber optic; tenure
4445-ZJNMU,75.58,tenure; InternetService Fiber optic; MonthlyCharges
4808-YNLEU,7.43,InternetService Fiber optic; tenure; Contract One year
1862-QRWPE,5.01,Contract Two year; InternetService Fiber optic; tenure
2796-NNUFI,5.0,Contract Two year; InternetService Fiber optic; tenure
3016-KSVCP,14.08,InternetService Fiber optic; tenure; PaymentMethod Electronic check
4767-HZZHQ,17.46,tenure; InternetService Fiber optic; PaymentMethod Electronic check
2424-WVHPL,52.6,tenure; TechSupport Yes; TotalCharges
7233-PAHHL,5.19,Contract Two year; tenure; InternetService Fiber optic
6067-NGCEU,15.88,tenure; TotalCharges; OnlineSecurity Yes
9848-JQJTX,10.27,Contract Two year; tenure; TotalCharges
8637-XJIVR,41.13,OnlineSecurity Yes; InternetService Fiber optic; PaymentMethod Electronic check
9803-FTJCG,6.31,tenure; InternetService Fiber optic; Contract One year
0278-YXOOG,11.74,tenure; InternetService Fiber optic; TotalCharges
3212-KXOCR,5.38,Contract Two year; tenure; InternetService Fiber optic
4598-XLKNJ,49.66,InternetService Fiber optic; PaymentMethod Electronic check; Contract Two year
6380-ARCEH,24.19,tenure; TotalCharges; InternetService Fiber optic
3679-XASPY,20.89,tenure; TotalCharges; InternetService Fiber optic
7123-WQUHX,12.25,tenure; Contract One year; InternetService Fiber optic
5386-THSLQ,9.45,tenure; Contract One year; InternetService Fiber optic
3192-NQECA,13.19,Contract Two year; tenure; InternetService Fiber optic
6180-YBIQI,39.43,tenure; TotalCharges; InternetService Fiber optic
6728-DKUCO,10.77,tenure; TotalCharges; Contract One year
9750-BOOHV,9.92,Contract One year; tenure; InternetService Fiber optic
8597-CWYHH,15.87,tenure; Contract One year; TotalCharges
2848-YXSMW,4.92,Contract Two year; tenure; InternetService Fiber optic
0486-HECZI,25.97,tenure; OnlineSecurity Yes; PaymentMethod Electronic check
4549-ZDQYY,6.35,tenure; InternetService Fiber optic; Contract One year
5712-AHQNN,31.87,tenure; InternetService Fiber optic; PaymentMethod Electronic check
4846-WHAFZ,47.33,InternetService Fiber optic; PaymentMethod Electronic check; tenure
5256-SKJGO,7.46,Contract Two year; tenure; PaymentMethod Electronic check
3071-VBYPO,31.83,OnlineSecurity Yes; tenure; InternetService Fiber optic
9560-BBZXK,7.52,Contract Two year; tenure; InternetService Fiber optic
5299-RULOA,75.87,tenure; InternetService Fiber optic; MonthlyCharges
8402-OOOHJ,4.91,Contract Two year; InternetService Fiber optic; tenure
9445-ZUEQE,17.87,tenure; InternetService Fiber optic; PaymentMethod Electronic check
1091-SOZGA,16.22,tenure; Contract One year; InternetService Fiber optic
2928-HLDBA,8.54,InternetService Fiber optic; tenure; OnlineSecurity No internet service
0404-SWRVG,77.36,tenure; InternetService Fiber optic; TotalCharges
6497-TILVL,14.05,InternetService Fiber optic; tenure; OnlineSecurity Yes
7219-TLZHO,9.68,tenure; InternetService Fiber optic; TotalCharges
4622-YNKIJ,10.73,Contract Two year; tenure; PaymentMethod Electronic check
4412-YLTKF,43.94,InternetService Fiber optic; PaymentMethod Electronic check; tenure
6734-PSBAW,4.94,Contract Two year; tenure; InternetService Fiber optic
3930-ZGWVE,29.48,tenure; TotalCharges; InternetService Fiber optic
2639-UGMAZ,13.94,tenure; PaymentMethod Electronic check; TotalCharges
2876-GZYZC,67.88,InternetService Fiber optic; tenure; PaymentMethod Electronic check
6207-WIOLX,15.1,InternetService Fiber optic; Contract Two year; PaymentMethod Electronic check
8587-XYZSF,6.58,Contract Two year; tenure; InternetService Fiber optic
3091-FYHKI,80.69,tenure; TotalCharges; PaymentMethod Electronic check
2372-HWUHI,55.3,tenure; TotalCharges; InternetService Fiber optic
7799-LGRDP,5.75,Contract Two year; InternetService Fiber optic; tenure
7850-VWJUU,22.52,InternetService Fiber optic; OnlineSecurity Yes; tenure
3774-VBNXY,4.86,Contract Two year; tenure; InternetService Fiber optic
6217-KDYWC,5.36,Contract Two year; tenure; InternetService Fiber optic
0390-DCFDQ,81.77,tenure; TotalCharges; InternetService Fiber optic
3146-MSEGF,5.49,Contract Two year; tenure; TotalCharges
4080-OGPJL,35.44,tenure; InternetService Fiber optic; PaymentMethod Electronic check
1095-WGNGG,11.53,Contract Two year; tenure; InternetService Fiber optic
2636-SJDOU,9.42,tenure; Contract One year; OnlineSecurity Yes
1131-QQZEB,4.79,Contract Two year; tenure; InternetService Fiber optic
5716-EZXZN,6.44,Contract Two year; tenure; TotalCharges
6837-BJYDQ,6.2,tenure; Contract One year; InternetService Fiber optic
2135-RXIHG,65.38,tenure; TotalCharges; InternetService Fiber optic
6440-DKQGE,7.81,InternetService Fiber optic; tenure; Contract One year
3466-BYAVD,12.31,InternetService Fiber optic; TechSupport Yes; Contract Two year
3780-YVMFA,22.04,InternetService Fiber optic; tenure; PaymentMethod Electronic check
3874-EQOEP,79.24,tenure; InternetService Fiber optic; MonthlyCharges
1679-JRFBR,11.51,tenure; Contract One year; OnlineSecurity Yes
9073-ZZIAY,5.49,Contract Two year; tenure; InternetService Fiber optic
3077-RSNTJ,8.2,InternetService Fiber optic; TotalCharges; tenure
6551-GNYDG,52.12,InternetService Fiber optic; tenure; Contract Two year
9167-APMXZ,34.16,InternetService Fiber optic; PaymentMethod Electronic check; tenure
2749-CTKAJ,5.03,InternetService Fiber optic; Contract One year; tenure
6371-NZYEG,6.97,Contract Two year; InternetService Fiber optic; OnlineSecurity Yes
7554-NEWDD,6.69,Contract Two year; InternetService Fiber optic; tenure
8992-VONJD,16.04,InternetService Fiber optic; PaymentMethod Electronic check; MonthlyCharges
0867-MKZVY,37.51,PaymentMethod Electronic check; InternetService Fiber optic; OnlineSecurity Yes
4482-EWFMI,68.69,tenure; InternetService Fiber optic; TotalCharges
4648-YPBTM,6.02,Contract Two year; tenure; InternetService Fiber optic
2907-ILJBN,7.71,InternetService Fiber optic; Contract One year; TotalCharges
6345-FZOQH,4.92,Contract Two year; tenure; InternetService Fiber optic
3376-BMGFE,68.09,tenure; InternetService Fiber optic; TotalCharges
5997-OPVFA,4.99,Contract Two year; tenure; InternetService Fiber optic
3445-HXXGF,28.25,tenure; PaymentMethod Electronic check; InternetService Fiber optic
1159-WFSGR,6.64,InternetService Fiber optic; OnlineSecurity No internet service; TechSupport No internet service
7654-YWJUF,9.53,tenure; Contract One year; InternetService Fiber optic
1875-QIVME,81.0,tenure; InternetService Fiber optic; TotalCharges
6727-IOTLZ,7.49,Contract Two year; InternetService Fiber optic; TechSupport Yes
0691-JVSYA,17.6,tenure; Contract One year; InternetService Fiber optic
5918-VUKWP,5.43,tenure; InternetService Fiber optic; Contract One year
1744-JHKYS,5.74,InternetService Fiber optic; tenure; OnlineSecurity No internet service
2656-FMOKZ,66.0,InternetService Fiber optic; tenure; TotalCharges
2070-FNEXE,43.39,tenure; OnlineSecurity Yes; InternetService Fiber optic
5947-SGKCL,48.84,InternetService Fiber optic; tenure; MonthlyCharges
3712-PKXZA,5.28,tenure; InternetService Fiber optic; Contract One year
6317-YPKDH,47.0,tenure; TotalCharges; InternetService Fiber optic
6582-OIVSP,52.42,tenure; TotalCharges; InternetService Fiber optic
9367-WXLCH,74.61,tenure; InternetService Fiber optic; MonthlyCharges
5524-KHNJP,8.61,InternetService Fiber optic; tenure; Contract One year
1918-ZBFQJ,65.34,InternetService Fiber optic; PaymentMethod Electronic check; tenure
1024-GUALD,72.02,tenure; TotalCharges; InternetService Fiber optic
4827-USJHP,13.27,InternetService Fiber optic; tenure; MonthlyCharges
8167-GJLRN,41.17,tenure; TotalCharges; TechSupport Yes
0956-SYCWG,6.36,InternetService Fiber optic; Contract One year; OnlineSecurity No internet service
8017-UVSZU,9.21,InternetService Fiber optic; tenure; PaymentMethod Electronic check
7100-FQPRV,7.11,InternetService Fiber optic; tenure; Contract One year
2472-OVKUP,77.89,tenure; InternetService Fiber optic; MonthlyCharges
2984-RGEYA,4.95,Contract Two year; tenure; InternetService Fiber optic
9680-NIAUV,6.1,Contract Two year; tenure; OnlineSecurity Yes
2146-EGVDT,5.39,Contract Two year; InternetService Fiber optic; tenure
2604-IJPDU,38.75,PaymentMethod Electronic check; InternetService Fiber optic; MonthlyCharges
9178-JHUVJ,5.52,Contract Two year; InternetService Fiber optic; tenure
6168-YBYNP,27.39,tenure; TotalCharges; InternetService Fiber optic
7255-SSFBC,7.97,Contract Two year; tenure; TotalCharges
3645-DEYGF,13.96,tenure; TotalCharges; InternetService Fiber optic
9323-HGFWY,15.85,Contract One year; InternetService Fiber optic; tenure
8544-GOQSH,39.99,InternetService Fiber optic; tenure; TechSupport Yes
3363-DTIVD,10.15,Contract Two year; tenure; TotalCharges
7018-WBJNK,47.81,InternetService Fiber optic; PaymentMethod Electronic check; Contract Two year
9142-KZXOP,18.82,InternetService Fiber optic; tenure; PaymentMethod Electronic check
7674-YTAFD,10.86,Contract One year; tenure; InternetService Fiber optic
6348-SNFUS,5.03,Contract Two year; tenure; InternetService Fiber optic
1285-OKIPP,83.14,tenure; TotalCharges; InternetService Fiber optic
7825-ECJRF,49.82,InternetService Fiber optic; PaymentMethod Electronic check; MonthlyCharges
1347-KTTTA,14.21,tenure; InternetService Fiber optic; TotalCharges
7841-TZDMQ,55.06,tenure; TotalCharges; InternetService Fiber optic
4195-NZGTA,62.02,tenure; TotalCharges; InternetService Fiber optic
7157-SMCFK,6.43,Contract Two year; InternetService Fiber optic; tenure
4709-LKHYG,5.28,InternetService Fiber optic; tenure; Contract One year
2504-DSHIH,42.31,InternetService Fiber optic; PaymentMethod Electronic check; tenure
0699-NDKJM,9.61,tenure; InternetService Fiber optic; TotalCharges
9286-BHDQG,5.35,Contract Two year; tenure; InternetService Fiber optic
0230-WEQUW,5.16,Contract Two year; tenure; InternetService Fiber optic
2040-LDIWQ,5.58,Contract Two year; tenure; InternetService Fiber optic
6496-JDSSB,68.28,tenure; InternetService Fiber optic; Contract Two year
9408-SSNVZ,69.24,tenure; InternetService Fiber optic; TotalCharges
4443-EMBNA,4.93,Contract Two year; tenure; InternetService Fiber optic
6469-MRVET,11.65,tenure; TotalCharges; Contract One year
0742-MOABM,30.59,tenure; TotalCharges; InternetService Fiber optic
5961-VUSRV,6.63,InternetService Fiber optic; Contract One year; OnlineSecurity No internet service
6778-JFCMK,10.93,InternetService Fiber optic; Contract One year; tenure
6341-JVQGF,8.28,InternetService Fiber optic; tenure; Contract One year
2232-DMLXU,57.75,tenure; TotalCharges; InternetService Fiber optic
4811-JBUVU,21.53,tenure; InternetService Fiber optic; TechSupport Yes
0945-TSONX,5.63,Contract Two year; InternetService Fiber optic; tenure
2651-ZCBXV,9.77,Contract Two year; tenure; InternetService Fiber optic
3316-UWXUY,13.09,tenure; InternetService Fiber optic; TotalCharges
8937-RDTHP,77.98,tenure; TotalCharges; InternetService Fiber optic
7083-MIOPC,4.92,Contract Two year; tenure; InternetService Fiber optic
1984-GPTEH,6.26,InternetService Fiber optic; tenure; OnlineSecurity No internet service
1251-KRREG,57.29,tenure; TotalCharges; InternetService Fiber optic
0621-JFHOL,12.31,Contract Two year; InternetService Fiber optic; tenure
9903-LYSAB,48.62,InternetService Fiber optic; PaymentMethod Electronic check; Contract Two year
0094-OIFMO,76.5,InternetService Fiber optic; tenure; MonthlyCharges
9227-UAQFT,5.89,Contract Two year; InternetService Fiber optic; OnlineSecurity No internet service
7301-ABVAD,5.34,Contract Two year; tenure; InternetService Fiber optic
6614-FHDBO,7.69,Contract Two year; tenure; TotalCharges
7576-ASEJU,7.44,InternetService Fiber optic; tenure; Contract One year
9058-HRZSV,14.03,tenure; TotalCharges; OnlineSecurity Yes
4522-AKYLR,24.03,InternetService Fiber optic; PaymentMethod Electronic check; MonthlyCharges
0221-WMXNQ,33.45,OnlineSecurity Yes; tenure; InternetService Fiber optic
0303-UNCIP,8.04,InternetService Fiber optic; tenure; Contract One year
9947-OTFQU,65.4,InternetService Fiber optic; PaymentMethod Electronic check; tenure
0322-YINQP,45.44,tenure; TotalCharges; InternetService Fiber optic
0959-WHOKV,20.49,Contract One year; PaymentMethod Electronic check; InternetService Fiber optic
4075-JFPGR,18.17,tenure; PaymentMethod Electronic check; Contract One year
4629-NRXKX,69.47,tenure; InternetService Fiber optic; TotalCharges
9514-JDSKI,77.57,tenure; TotalCharges; PaymentMethod Electronic check
3282-ZISZV,9.4,InternetService Fiber optic; tenure; Contract One year
3675-YDUPJ,7.69,InternetService Fiber optic; OnlineSecurity No internet service; TechSupport No internet service
4111-BNXIF,6.44,Contract Two year; tenure; InternetService Fiber optic
7017-VFHAY,6.26,Contract Two year; tenure; TotalCharges
6655-LHBYW,15.41,tenure; InternetService Fiber optic; MonthlyCharges
4959-JOSRX,54.09,tenure; TotalCharges; InternetService Fiber optic
5046-NUHWD,24.3,InternetService Fiber optic; PaymentMethod Electronic check; tenure
7273-TEFQD,76.45,tenure; TotalCharges; PaymentMethod Electronic check
3606-TWKGI,74.98,InternetService Fiber optic; tenure; PaymentMethod Electronic check
7529-ZDFXI,31.01,tenure; TotalCharges; PaymentMethod Electronic check
7605-BDWDC,5.93,Contract Two year; InternetService Fiber optic; tenure
1950-KSVVJ,12.4,tenure; InternetService Fiber optic; Contract One year
0123-CRBRT,5.1,Contract Two year; tenure; InternetService Fiber optic
6292-TOSSS,5.36,Contract Two year; tenure; InternetService Fiber optic
3197-ARFOY,34.3,InternetService Fiber optic; MonthlyCharges; Contract Two year
6323-AYBRX,15.53,Contract Two year; TotalCharges; InternetService Fiber optic
7014-ZZXAW,4.95,Contract Two year; tenure; InternetService Fiber optic
4385-GZQXV,63.75,InternetService Fiber optic; tenure; PaymentMethod Electronic check
7633-MVPUY,6.36,Contract Two year; tenure; InternetService Fiber optic
6366-ZGQGL,59.27,tenure; TotalCharges; InternetService Fiber optic
4716-HHKQH,38.89,InternetService Fiber optic; PaymentMethod Electronic check; TechSupport Yes
5940-AHUHD,80.3,tenure; TotalCharges; InternetService Fiber optic
6432-TWQLB,77.5,tenure; InternetService Fiber optic; TotalCharges
4484-GLZOU,39.46,tenure; InternetService Fiber optic; TotalCharges
3179-GBRWV,14.65,InternetService Fiber optic; SeniorCitizen; MonthlyCharges
8645-KWHJO,21.2,InternetService Fiber optic; PaymentMethod Electronic check; TechSupport Yes
4130-MZLCC,25.27,tenure; InternetService Fiber optic; TotalCharges
0314-TKOSI,16.06,tenure; InternetService Fiber optic; OnlineSecurity Yes
8229-MYEJZ,19.27,InternetService Fiber optic; PaymentMethod Electronic check; MonthlyCharges
2080-SRCDE,11.01,tenure; InternetService Fiber optic; TotalCharges
9577-WJVCQ,7.64,tenure; InternetService Fiber optic; TotalCharges
9512-UIBFX,29.64,InternetService Fiber optic; PaymentMethod Electronic check; Contract Two year
6202-DYYFX,15.87,Contract One year; InternetService Fiber optic; tenure
3808-HFKDE,23.78,InternetService Fiber optic; PaymentMethod Electronic check; tenure
5583-SXDAG,82.7,tenure; TotalCharges; InternetService Fiber optic
3488-PGMQJ,65.47,InternetService Fiber optic; tenure; PaymentMethod Electronic check
3580-REOAC,27.02,InternetService Fiber optic; tenure; PaymentMethod Electronic check
7534-BFESC,45.93,InternetService Fiber optic; PaymentMethod Electronic check; tenure
3727-OWVYD,7.12,tenure; InternetService Fiber optic; Contract One year
2294-SALNE,9.26,Contract One year; tenure; InternetService Fiber optic
4847-TAJYI,79.31,tenure; InternetService Fiber optic; MonthlyCharges
1563-IWQEX,7.9,InternetService Fiber optic; OnlineSecurity No internet service; TechSupport No internet service
8203-XJZRC,18.53,tenure; TotalCharges; InternetService Fiber optic
6556-DBKZF,10.0,Contract Two year; tenure; TotalCharges
6851-WEFYX,52.1,InternetService Fiber optic; tenure; PaymentMethod Electronic check
2985-JUUBZ,17.51,InternetService Fiber optic; tenure; PaymentMethod Electronic check
6390-DSAZX,71.55,tenure; TotalCharges; InternetService Fiber optic
0895-LMRSF,11.35,InternetService Fiber optic; Contract One year; tenure
8098-LLAZX,87.14,tenure; InternetService Fiber optic; MonthlyCharges
8266-VBFQL,69.02,tenure; InternetService Fiber optic; TotalCharges
8181-YHCMF,5.24,Contract Two year; tenure; InternetService Fiber optic
2240-HSJQD,20.47,tenure; InternetService Fiber optic; TotalCharges
1248-DYXUB,4.9,Contract Two year; tenure; InternetService Fiber optic
0265-EDXBD,47.77,InternetService Fiber optic; PaymentMethod Electronic check; tenure
4115-BNPJY,5.72,Contract Two year; InternetService Fiber optic; tenure
3167-SNQPL,37.65,InternetService Fiber optic; PaymentMethod Electronic check; tenure
4091-TVOCN,8.61,InternetService Fiber optic; tenure; Contract One year
1098-TDVUQ,15.93,tenure; TotalCharges; InternetService Fiber optic
7277-OZCGZ,31.56,PaymentMethod Electronic check; InternetService Fiber optic; OnlineSecurity Yes
1557-EMYVT,9.28,Contract Two year; InternetService Fiber optic; tenure
2799-ARNLO,64.34,tenure; InternetService Fiber optic; PaymentMethod Electronic check
7563-BIUPC,76.06,tenure; InternetService Fiber optic; TotalCharges
5027-YOCXN,13.12,tenure; InternetService Fiber optic; Contract One year
3973-SKMLN,4.91,Contract Two year; tenure; InternetService Fiber optic
2321-OMBXY,10.47,InternetService Fiber optic; tenure; Contract One year
2840-XANRC,46.54,InternetService Fiber optic; PaymentMethod Electronic check; tenure
6745-JEFZB,20.87,tenure; InternetService Fiber optic; TechSupport Yes
5020-ZSTTY,13.39,tenure; InternetService Fiber optic; SeniorCitizen
9880-TDQAC,7.24,Contract Two year; tenure; PaymentMethod Electronic check
8705-WZCYL,61.65,tenure; TotalCharges; InternetService Fiber optic
7102-JJVTX,10.25,InternetService Fiber optic; Contract One year; tenure
8626-PTQGE,5.53,Contract Two year; tenure; InternetService Fiber optic
4983-CLMLV,21.59,tenure; InternetService Fiber optic; TotalCharges
5701-YVSVF,62.48,InternetService Fiber optic; tenure; TechSupport Yes
5804-LEPIM,70.61,tenure; TotalCharges; InternetService Fiber optic
5697-GOMBF,29.9,InternetService Fiber optic; PaymentMethod Electronic check; tenure
2739-CACDQ,38.64,InternetService Fiber optic; PaymentMethod Electronic check; Contract Two year
9385-EHGDO,5.64,Contract Two year; InternetService Fiber optic; tenure
9498-FIMXL,6.26,InternetService Fiber optic; Contract One year; OnlineSecurity No internet service
2379-GYFLQ,14.76,Contract One year; tenure; TotalCharges
0122-OAHPZ,74.33,tenure; InternetService Fiber optic; PaymentMethod Electronic check
2868-SNELZ,80.32,tenure; TotalCharges; InternetService Fiber optic
4322-RCYMT,12.08,tenure; InternetService Fiber optic; Contract Two year
6680-NENYN,33.26,Contract Two year; PaymentMethod Electronic check; InternetService Fiber optic
2088-IEBAU,6.03,Contract Two year; tenure; InternetService Fiber optic
7982-VCELR,26.74,tenure; InternetService Fiber optic; TotalCharges
1343-EHPYB,37.85,tenure; TotalCharges; InternetService Fiber optic
6035-BXTTY,10.32,InternetService Fiber optic; tenure; TotalCharges
6885-PKOAM,5.06,Contract Two year; tenure; InternetService Fiber optic
7520-HQWJU,7.72,tenure; InternetService Fiber optic; TotalCharges
9639-BUJXT,5.24,tenure; InternetService Fiber optic; Contract One year
5924-SNGKP,5.13,InternetService Fiber optic; tenure; Contract One year
0021-IKXGC,82.2,tenure; TotalCharges; InternetService Fiber optic
2034-GDRCN,83.37,tenure; TotalCharges; InternetService Fiber optic
8966-SNIZF,5.03,Contract Two year; tenure; InternetService Fiber optic
6243-OZGFH,25.69,InternetService Fiber optic; tenure; PaymentMethod Electronic check
4654-DLAMQ,10.7,tenure; Contract One year; TotalCharges
0513-RBGPE,5.72,Contract Two year; InternetService Fiber optic; tenure
5160-UXJED,10.91,InternetService Fiber optic; Contract One year; PaymentMethod Electronic check
4115-NZRKS,79.99,tenure; InternetService Fiber optic; MonthlyCharges
0219-YTZUE,80.54,tenure; InternetService Fiber optic; TotalCharges
0623-IIHUG,42.1,PaymentMethod Electronic check; InternetService Fiber optic; SeniorCitizen
4572-DVCGN,65.58,tenure; InternetService Fiber optic; MonthlyCharges
3351-NGXYI,26.58,InternetService Fiber optic; PaymentMethod Electronic check; OnlineSecurity Yes
8984-EYLLL,9.84,Contract Two year; tenure; TotalCharges
9057-MSWCO,24.47,SeniorCitizen; InternetService Fiber optic; tenure
9833-TGFHX,21.05,Contract One year; PaymentMethod Electronic check; InternetService Fiber optic
9294-TDIPC,7.48,InternetService Fiber optic; tenure; OnlineSecurity No internet service
5229-DTFYB,9.59,Contract Two year; tenure; InternetService Fiber optic
0104-PPXDV,7.08,tenure; InternetService Fiber optic; Contract One year
5176-LMJXE,4.89,Contract Two year; tenure; InternetService Fiber optic
3583-KRKMD,23.34,InternetService Fiber optic; TechSupport Yes; PaymentMethod Electronic check
1010-DIAUQ,74.76,tenure; InternetService Fiber optic; MonthlyCharges
9069-LGEUL,11.33,InternetService Fiber optic; MonthlyCharges; tenure
7302-ZHMHP,12.98,tenure; TotalCharges; InternetService Fiber optic
9571-EDEBV,15.61,tenure; Contract One year; TotalCharges
3520-FJGCV,5.48,Contract Two year; tenure; TotalCharges
6563-VRERX,5.01,InternetService Fiber optic; tenure; Contract One year
0259-GBZSH,83.14,tenure; InternetService Fiber optic; TotalCharges
6122-EFVKN,6.62,Contract Two year; InternetService Fiber optic; tenure
2805-EDJPQ,11.11,tenure; Contract One year; TotalCharges
6862-CQUMB,26.38,tenure; InternetService Fiber optic; TotalCharges
7156-MXBJE,9.34,InternetService Fiber optic; tenure; Contract One year
6158-HDPXZ,54.63,tenure; TotalCharges; InternetService Fiber optic
